Title,Price
Beginning MicroPython with the Raspberry Pi Pico: Build Electronics and IoT Projects,0
Beginner's Step-by-Step Coding Course: Learn Computer Programming the Easy Way,0
Effective awk Programming: Universal Text Processing and Pattern Matching,0
"Coding for Babies: Fundamentals of Programming Explained for Babies, Toddlers, Kids, and Young Children",0
Programming: Principles and Practice Using C++,0
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",0
Crafting Test-Driven Software with Python: Write test suites that scale with your applications' needs and complexity using Python and PyTest,0
"Learning C# by Developing Games with Unity: Get to grips with coding in C# and build simple 3D games in Unity 2022 from the ground up, 7th Edition",0
Code Gamers Development: Essentials: A 9-Week Beginner’s Guide to Start Your Game-Development Career,0
Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),1
"Mastering Qt 5: Create stunning cross-platform applications using C++ with Qt Widgets and QML with Qt Quick, 2nd Edition",9
Building Web Apps with WordPress: WordPress as an Application Framework,9
Java 8 Pocket Guide: Instant Help for Java Programmers,9
R Programming: 100 Interview Questions (Advanced Topics in Programming Book 3),10
"Objective-C for Absolute Beginners: iPhone, iPad and Mac Programming Made Easy",10
Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,13
"Go Programming Language, The",13
Computer Programming for Beginners: Fundamentals of Programming Terms and Concepts,15
"Aspect-Oriented, Model-Driven Software Product Lines: The AMPLE Way",15
,18
Cracking the Coding Interview: 189 Programming Questions and Solutions,18
ARM Microcontrollers: Programming and Circuit Building Volume 1,19
The Book of R: A First Course in Programming and Statistics,20
Learn Python in One Day and Learn It Well (2nd Edition): Python for Beginners with Hands-on Project. The only book you need to start coding in Python immediately,23
,23
C++ Programming Language: A Quickstudy Laminated Reference,29
"Scratch Coding for Beginners: A Step-By-step Beginner's Guide to Creating Video Games, Art, and Animation in Scratch 3.0",29
"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",31
Python Programming for Absolute Beginners: A simple and practical guide for people with zero programming knowledge (Eclectic programming),35
Code: The Hidden Language of Computer Hardware and Software,36
"Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling, visualization, digital storytelling, and more, 2nd Edition",38
Introduction to Programming in C: Learn to Code with Confidence in the Versatile Language of C,39
"The Advanced Roblox Coding Book: An Unofficial Guide: Learn How to Script Games, Code Objects and Settings, and Create Your Own World!",43
PYTHON PROGRAMMING FOR BEGINNERS: The New Complete Programming Guide To Easily Learn Python Coding From Scratch.Become A Computer Programming Expert In No Time With The Step-By-Step Exercises Included.,46
Software Engineering at Google: Lessons Learned from Programming Over Time,46
"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages",48
"Computer Programming Crash Course: 7 Books in 1- Coding Languages for Beginners: C++, C#, SQL, Python, Data Science for Python, Raspberry pi and Arduino. Teach Yourself to Code. Learn Faster.",48
"The Rust Programming Language, 2nd Edition",48
"Hands-On Unity 2022 Game Development: Learn to use the latest Unity 2022 features to create your first video game in the simplest way possible, 3rd Edition",48
Mastering Python: A Comprehensive Guide to Advanced Programming. (HandBook for Professionals Series),49
"Docker in Practice, Second Edition",50
Metamask Programming Examples,50
Baby Loves Coding!,51
Short Sims: A Game Changer,51
"The Computer Programming Bible: A Step by Step Guide On How To Master From The Basics to Advanced of Python, C, C++, C#, HTML Coding Raspberry Pi3",53
Learn Python Programming: A complete Guide to Learning Python basics and it’s Practical Applications in recent Development Technologies,53
"Pragmatic Programmer, The: Your journey to mastery, 20th Anniversary Edition",56
"Advanced Python Programming: Accelerate your Python programs using proven techniques and design patterns, 2nd Edition",56
Python: 3 Manuscripts in 1 book: - Python Programming For Beginners - Python Programming For Intermediates - Python Programming for Advanced (Your place to learn Python with ease Book 4),57
Clean Code: A Handbook of Agile Software Craftsmanship,59
C Programming: Language: A Step by Step Beginner's Guide to Learn C Programming in 7 Days,59
Learn Coding with JavaScript 2023: A Slow and Gentle Introduction to Basic Programming for Absolute Beginners (Real Programming Lessons for Smart Learners ... to More Experienced Programmers Book 2),59
"Superior Deadlift - Technique, Principles, Programming (""Base Strength"" Book #3)",64
"Parallel Programming and Concurrency with C# 10 and .NET 6: A modern approach to building faster, more responsive, and asynchronous .NET applications using C#",65
Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,65
Programming: 4 Manuscripts in 1 book : Python For Beginners - Python 3 Guide - Learn Java - Excel 2016,72
"Mastering Concurrency in Python: Create faster programs using concurrency, asynchronous, multithreading, and parallel programming",74
Python Programming for Beginners: The Complete Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),74
"Excel Programming: From Basic Macros to Advanced VBA Techniques - A Comprehensive Guide to Using Excel as a Powerful Programming Tool for Data Analysis, Automation, and Reporting",78
"Python Programming Unlocked for Beginners: Ultimate Guide to Learn Python Basics: Python coding fundamentals, and python step by step for absolute beginners ... (Mastering Python Programming from Scratch)",87
"Learning C# by Developing Games with Unity 2021: Kickstart your C# programming and Unity journey by building 3D games from scratch, 6th Edition",97
Essential Guide to Renderman(r) Shading Plugin Development: Understanding Bxdfs,102
